Date,Open,High,Low,Close,Adj Close,Volume,Dividends,StockSplits
2024-02-13,3745.0,3787.7900390625,3702.1201171875,3747.610107421875,3700.691162109375,264100,0.0,0.0
2024-02-14,3741.2099609375,3770.2099609375,3695.0,3738.31005859375,3691.508056640625,253700,0.0,0.0
2024-02-15,3752.639892578125,3762.72998046875,3711.830078125,3750.659912109375,3703.703369140625,297500,0.0,0.0
2024-02-16,3754.199951171875,3756.179931640625,3708.969970703125,3716.840087890625,3670.306640625,209600,0.0,0.0
2024-02-20,3709.0,3730.169921875,3688.56005859375,3700.860107421875,3654.527099609375,254900,0.0,0.0
2024-02-21,3716.56005859375,3752.780029296875,3709.570068359375,3741.1298828125,3694.29248046875,224800,0.0,0.0
2024-02-22,3804.080078125,3918.0,3774.8701171875,3901.989990234375,3853.138671875,474000,0.0,0.0
2024-02-23,3698.300048828125,3698.300048828125,3491.330078125,3505.9599609375,3462.06689453125,958500,0.0,0.0
2024-02-26,3559.360107421875,3586.199951171875,3497.590087890625,3499.75,3455.9345703125,433200,0.0,0.0
2024-02-27,3516.31005859375,3533.719970703125,3463.3701171875,3478.1201171875,3434.575439453125,392900,0.0,0.0
2024-02-28,3478.1201171875,3507.360107421875,3460.0,3495.6298828125,3451.8662109375,339600,0.0,0.0
2024-02-29,3505.68994140625,3515.0,3451.489990234375,3468.830078125,3425.40185546875,480900,0.0,0.0
2024-03-01,3482.550048828125,3511.719970703125,3454.159912109375,3499.72998046875,3455.91455078125,348400,0.0,0.0
2024-03-04,3461.7900390625,3502.22998046875,3452.5,3461.39990234375,3418.064453125,270800,0.0,0.0
2024-03-05,3452.0,3473.31005859375,3415.68994140625,3430.25,3387.3046875,287500,0.0,0.0
2024-03-06,3433.0,3447.4599609375,3398.969970703125,3428.030029296875,3385.1123046875,236500,0.0,0.0
2024-03-07,3433.5,3484.10009765625,3408.919921875,3477.760009765625,3443.008056640625,270700,8.75,0.0
2024-03-08,3476.97998046875,3510.0,3450.6201171875,3485.699951171875,3450.86865234375,305400,0.0,0.0
2024-03-11,3477.760009765625,3546.02001953125,3476.47998046875,3502.739990234375,3467.73876953125,235500,0.0,0.0
2024-03-12,3522.27001953125,3543.43994140625,3497.5400390625,3500.0,3465.026123046875,188400,0.0,0.0
2024-03-13,3500.0,3519.719970703125,3482.22998046875,3500.0,3465.026123046875,232600,0.0,0.0
2024-03-14,3550.0,3550.0,3500.280029296875,3511.56005859375,3476.470458984375,347900,0.0,0.0
2024-03-15,3498.2900390625,3501.0,3409.010009765625,3413.97998046875,3379.865478515625,771100,0.0,0.0
2024-03-18,3466.52001953125,3470.0,3426.31005859375,3450.929931640625,3416.446044921875,231000,0.0,0.0
2024-03-19,3454.110107421875,3510.18994140625,3445.02001953125,3505.97998046875,3470.9462890625,187700,0.0,0.0
2024-03-20,3510.080078125,3623.0,3500.010009765625,3578.489990234375,3542.7314453125,430400,0.0,0.0
2024-03-21,3615.2900390625,3660.18994140625,3586.659912109375,3647.81005859375,3611.35888671875,304300,0.0,0.0
2024-03-22,3624.969970703125,3646.1201171875,3604.4599609375,3624.72998046875,3588.509765625,205400,0.0,0.0
2024-03-25,3608.43994140625,3629.830078125,3569.5,3626.93994140625,3590.697509765625,166600,0.0,0.0
2024-03-26,3649.0,3688.909912109375,3640.60009765625,3661.080078125,3624.496337890625,274900,0.0,0.0
2024-03-27,3677.93994140625,3711.429931640625,3656.139892578125,3673.5,3636.7919921875,209200,0.0,0.0
2024-03-28,3690.0,3694.639892578125,3618.39990234375,3627.8798828125,3591.6279296875,274100,0.0,0.0
2024-04-01,3651.030029296875,3654.85009765625,3548.0,3568.8701171875,3533.2080078125,227600,0.0,0.0
2024-04-02,3518.60009765625,3585.070068359375,3518.60009765625,3566.090087890625,3530.455322265625,257200,0.0,0.0
2024-04-03,3599.0,3646.110107421875,3595.419921875,3632.3798828125,3596.0830078125,255000,0.0,0.0
2024-04-04,3658.0,3671.47998046875,3518.300048828125,3521.929931640625,3486.736572265625,322600,0.0,0.0
2024-04-05,3530.0,3610.47998046875,3530.0,3601.89990234375,3565.907470703125,258500,0.0,0.0
2024-04-08,3589.8798828125,3634.25,3589.14990234375,3601.169921875,3565.184814453125,165600,0.0,0.0
2024-04-09,3610.0,3614.219970703125,3530.840087890625,3581.47998046875,3545.69140625,158000,0.0,0.0
2024-04-10,3572.570068359375,3617.340087890625,3546.929931640625,3586.1298828125,3550.294921875,181000,0.0,0.0
2024-04-11,3576.919921875,3656.81005859375,3568.050048828125,3637.8701171875,3601.518310546875,174500,0.0,0.0
2024-04-12,3579.3701171875,3598.580078125,3501.5,3531.800048828125,3496.508056640625,240800,0.0,0.0
2024-04-15,3583.070068359375,3625.22998046875,3480.97998046875,3485.6298828125,3450.79931640625,207600,0.0,0.0
2024-04-16,3470.530029296875,3497.469970703125,3450.7900390625,3467.77001953125,3433.117919921875,223300,0.0,0.0
2024-04-17,3472.97998046875,3493.409912109375,3430.570068359375,3443.909912109375,3409.49609375,170900,0.0,0.0
2024-04-18,3470.0,3485.159912109375,3424.139892578125,3430.139892578125,3395.8642578125,156700,0.0,0.0
2024-04-19,3460.510009765625,3478.18994140625,3405.159912109375,3414.820068359375,3380.697021484375,218800,0.0,0.0
2024-04-22,3441.1201171875,3492.52001953125,3424.52001953125,3463.0,3428.3955078125,202300,0.0,0.0
2024-04-23,3468.219970703125,3546.89990234375,3468.219970703125,3533.989990234375,3498.67626953125,152200,0.0,0.0
2024-04-24,3505.25,3571.110107421875,3505.25,3517.52001953125,3482.370849609375,155900,0.0,0.0
2024-04-25,3522.719970703125,3525.0,3466.27001953125,3502.47998046875,3467.48095703125,142700,0.0,0.0
2024-04-26,3484.22998046875,3541.8701171875,3484.22998046875,3521.080078125,3485.895263671875,146000,0.0,0.0
2024-04-29,3521.080078125,3532.070068359375,3487.239990234375,3514.800048828125,3479.677978515625,146500,0.0,0.0
2024-04-30,3512.7900390625,3516.139892578125,3444.22998046875,3452.030029296875,3417.535400390625,232100,0.0,0.0
2024-05-01,3437.25,3485.110107421875,3405.22998046875,3415.639892578125,3381.5087890625,226200,0.0,0.0
2024-05-02,3440.0,3487.909912109375,3393.949951171875,3472.909912109375,3438.206298828125,454200,0.0,0.0
2024-05-03,3700.0,3748.2099609375,3566.909912109375,3577.3798828125,3541.632568359375,534600,0.0,0.0
2024-05-06,3618.719970703125,3618.719970703125,3520.929931640625,3598.409912109375,3562.45263671875,350000,0.0,0.0
2024-05-07,3580.75,3623.06005859375,3550.010009765625,3605.409912109375,3569.382568359375,266300,0.0,0.0
2024-05-08,3603.800048828125,3663.60009765625,3573.0,3660.0,3623.42724609375,273200,0.0,0.0
2024-05-09,3640.0,3800.919921875,3640.0,3780.030029296875,3742.2578125,437000,0.0,0.0
2024-05-10,3783.449951171875,3811.570068359375,3775.419921875,3805.75,3767.72021484375,283000,0.0,0.0
2024-05-13,3800.75,3807.800048828125,3717.47998046875,3745.0,3707.577880859375,238400,0.0,0.0
2024-05-14,3729.570068359375,3778.669921875,3729.0,3772.85009765625,3735.1494140625,210800,0.0,0.0
2024-05-15,3783.27001953125,3796.8701171875,3749.199951171875,3792.530029296875,3754.6328125,192400,0.0,0.0
2024-05-16,3792.530029296875,3797.02001953125,3735.010009765625,3735.010009765625,3697.687744140625,198300,0.0,0.0
2024-05-17,3758.239990234375,3758.239990234375,3690.510009765625,3708.35009765625,3671.2939453125,198400,0.0,0.0
2024-05-20,3703.97998046875,3773.340087890625,3694.260009765625,3768.6201171875,3730.961669921875,219900,0.0,0.0
2024-05-21,3772.2099609375,3827.820068359375,3749.110107421875,3822.340087890625,3784.14501953125,224000,0.0,0.0
2024-05-22,3830.0,3853.0,3798.219970703125,3825.10009765625,3786.877197265625,203300,0.0,0.0
2024-05-23,3850.0,3850.0,3731.7900390625,3752.679931640625,3715.180908203125,218700,0.0,0.0
2024-05-24,3760.0,3807.06005859375,3754.919921875,3795.35009765625,3757.424560546875,151800,0.0,0.0
2024-05-28,3796.550048828125,3815.0,3764.699951171875,3790.1201171875,3752.2470703125,170700,0.0,0.0
2024-05-29,3751.0,3776.06005859375,3726.719970703125,3734.2900390625,3696.974853515625,255400,0.0,0.0
2024-05-30,3745.590087890625,3766.949951171875,3704.570068359375,3754.6201171875,3717.1015625,210200,0.0,0.0
2024-05-31,3747.0,3783.52001953125,3711.85009765625,3776.35009765625,3738.6142578125,353100,0.0,0.0
2024-06-03,3776.35009765625,3784.429931640625,3713.889892578125,3763.639892578125,3726.03125,229900,0.0,0.0
2024-06-04,3772.5,3823.760009765625,3768.909912109375,3801.360107421875,3763.374755859375,162700,0.0,0.0
2024-06-05,3809.06005859375,3838.0,3753.919921875,3831.0400390625,3792.7578125,142600,0.0,0.0
2024-06-06,3831.0400390625,3854.889892578125,3800.0,3810.06005859375,3771.987548828125,146400,0.0,0.0
2024-06-07,3787.280029296875,3820.239990234375,3770.0,3813.090087890625,3783.677001953125,161400,8.75,0.0
2024-06-10,3805.550048828125,3805.550048828125,3746.679931640625,3788.719970703125,3759.494873046875,226700,0.0,0.0
2024-06-11,3772.97998046875,3819.889892578125,3762.719970703125,3788.699951171875,3759.474853515625,219300,0.0,0.0
2024-06-12,3807.0,3911.68994140625,3807.0,3876.409912109375,3846.50830078125,256500,0.0,0.0
2024-06-13,3850.0,3866.169921875,3820.469970703125,3856.139892578125,3826.394287109375,153700,0.0,0.0
2024-06-14,3837.010009765625,3863.110107421875,3814.10009765625,3859.10009765625,3829.33203125,143700,0.0,0.0
2024-06-17,3878.75,3957.97998046875,3854.510009765625,3953.070068359375,3922.576904296875,180100,0.0,0.0
2024-06-18,3957.7099609375,3989.1201171875,3937.43994140625,3973.179931640625,3942.531494140625,179800,0.0,0.0
2024-06-20,3995.0,4004.39990234375,3961.280029296875,3972.080078125,3941.4404296875,212100,0.0,0.0
