Date,Open,High,Low,Close,Volume,Dividends,StockSplits,Capital Gains
2024-04-02,253.32199583902946,253.32199583902946,252.03325332995286,253.12522888183594,3213400,0.0,0.0,0.0
2024-04-03,252.564490388651,254.2467367250318,252.4956189540382,253.5187530517578,3241600,0.0,0.0,0.0
2024-04-04,255.43709981537634,255.77157961718697,250.31164193503218,250.4788818359375,3121300,0.0,0.0,0.0
2024-04-05,250.97078093166826,254.01065636442755,250.86256510705599,253.00718688964844,4178500,0.0,0.0,0.0
2024-04-08,253.6171074769214,253.95161729706038,252.9284831954165,253.3023223876953,3223800,0.0,0.0,0.0
2024-04-09,254.1582081670723,254.30576837247517,251.2560606969862,253.66632080078125,2940600,0.0,0.0,0.0
2024-04-10,250.5870946532444,251.88568447230764,249.80007188513432,250.83303833007812,3348900,0.0,0.0,0.0
2024-04-11,251.60037518667795,253.25310944879888,249.76072133298632,252.53497314453125,3434200,0.0,0.0,0.0
2024-04-12,251.12817709100904,251.492168933986,248.06863710997817,248.89500427246094,3574400,0.0,0.0,0.0
2024-04-15,250.8625539032647,251.06915319964727,245.21568159960233,245.83546447753906,4804300,0.0,0.0,0.0
2024-04-16,245.83545675012135,246.58312011068776,244.4384984912889,245.09762573242188,3466800,0.0,0.0,0.0
2024-04-17,246.37654375762295,246.8585837641852,242.97267661487203,243.66131591796875,2861400,0.0,0.0,0.0
2024-04-18,244.2909415906122,245.4813005756282,242.6480246258203,243.1595916748047,2991700,0.0,0.0,0.0
2024-04-19,243.06124036482214,243.67117592048015,240.6018034323795,241.25108337402344,3469000,0.0,0.0,0.0
2024-04-22,242.58901226887764,244.84186485515477,241.3986532263357,243.62197875976562,3112000,0.0,0.0,0.0
2024-04-23,244.53687958103544,246.8782531134215,244.24174417459054,246.5240936279297,2399000,0.0,0.0,0.0
2024-04-24,247.13405634061155,247.42917675041863,245.2550430050474,246.5831298828125,2285900,0.0,0.0,0.0
2024-04-25,243.29735069566485,245.83549155726448,242.43162404206765,245.4124755859375,2473300,0.0,0.0,0.0
2024-04-26,246.78972277509678,248.44245707196157,246.3765392008806,247.69479370117188,3238100,0.0,0.0,0.0
2024-04-29,248.6490672501673,249.0130591028905,247.2717886091514,248.6687469482422,2086000,0.0,0.0,0.0
2024-04-30,247.85221998116356,248.23589154415063,244.52705642780094,244.5762481689453,2502700,0.0,0.0,0.0
2024-05-01,244.4286992204218,247.89157579062504,243.58265227187172,243.96632385253906,3509500,0.0,0.0,0.0
2024-05-02,246.07156721992772,246.8487426175894,243.59245080598168,246.4945831298828,2580200,0.0,0.0,0.0
2024-05-03,249.48526852872234,250.2722762753509,248.10797494970134,249.41639709472656,2350200,0.0,0.0,0.0
2024-05-06,250.6657995676004,252.09226989746094,250.48871231364768,252.09226989746094,2811500,0.0,0.0,0.0
2024-05-07,252.42675855058798,252.99736471599905,251.98407792820632,252.3185577392578,1829900,0.0,0.0,0.0
2024-05-08,251.33476150924696,252.38739265485086,251.18720130558646,252.14144897460938,2600100,0.0,0.0,0.0
2024-05-09,252.14144372012356,253.69582455941364,251.84632331895267,253.626953125,2418700,0.0,0.0,0.0
2024-05-10,254.47301790830736,254.827162393789,253.272811559028,253.86305236816406,1922500,0.0,0.0,0.0
2024-05-13,254.87635264410946,254.87635264410946,253.38102581092025,254.0008087158203,1948400,0.0,0.0,0.0
2024-05-14,254.04016530440697,255.45680335068332,253.89257507350172,255.24037170410156,2466800,0.0,0.0,0.0
2024-05-15,256.6176359586521,258.4671371943416,256.21428472981165,258.37860107421875,2508700,0.0,0.0,0.0
2024-05-16,258.41794581341554,259.0082166717576,257.6112433077622,257.68011474609375,2445000,0.0,0.0,0.0
2024-05-17,257.89653769638704,258.0440979003906,257.00129909553584,258.0440979003906,2208700,0.0,0.0,0.0
2024-05-20,258.1719800355126,259.0868832753324,257.95554840671883,258.3097229003906,2366100,0.0,0.0,0.0
2024-05-21,257.94573384118763,258.89014913040535,257.8768624080101,258.8409423828125,2241900,0.0,0.0,0.0
2024-05-22,258.5950238304782,258.80163815008007,256.89311267825644,257.9654235839844,2356600,0.0,0.0,0.0
2024-05-23,259.57881020406586,259.6378643140355,255.22069494661267,255.7716064453125,6603000,0.0,0.0,0.0
2024-05-24,256.8045739022443,257.9555735685038,256.22415039168567,257.62109375,3123700,0.0,0.0,0.0
2024-05-28,258.21136461541624,258.21136461541624,256.26347976626965,257.62109375,3078100,0.0,0.0,0.0
2024-05-29,255.40759796499069,256.1454290337698,255.22067835910613,255.5059814453125,3179000,0.0,0.0,0.0
2024-05-30,255.07311161554068,255.40759142212798,253.56793747468677,254.256591796875,3030200,0.0,0.0,0.0
2024-05-31,254.79765641313236,256.3717019939142,252.09227589137132,256.21429443359375,3407400,0.0,0.0,0.0
2024-06-03,257.41451694675203,257.41451694675203,253.89258636146747,256.2929992675781,6203400,0.0,0.0,0.0
2024-06-04,255.6240715936362,256.6570532730264,254.74852752655516,256.2635192871094,2489800,0.0,0.0,0.0
2024-06-05,257.5522016613052,259.4017028808594,256.47007352096347,259.4017028808594,2384000,0.0,0.0,0.0
2024-06-06,259.3721824747109,259.67715021677674,258.3392310931871,259.1754455566406,2190200,0.0,0.0,0.0
2024-06-07,258.62453915361687,260.01163502795436,257.99490894980306,258.6835632324219,1838900,0.0,0.0,0.0
2024-06-10,258.0735933809052,259.71651027317995,257.94572789392174,259.54925537109375,1958400,0.0,0.0,0.0
2024-06-11,258.73271310485643,260.0608147849732,257.63089038495485,259.991943359375,3017300,0.0,0.0,0.0
2024-06-12,262.75640449297305,263.8582274518141,261.8906778760482,262.44158935546875,2762600,0.0,0.0,0.0
2024-06-13,263.1302380199887,263.4548704830963,261.1922005289149,262.5596618652344,2285200,0.0,0.0,0.0
2024-06-14,261.54633468497,262.3628845214844,260.9363991574083,262.3628845214844,2205600,0.0,0.0,0.0
2024-06-17,262.08746779433596,265.0289450605239,261.7234758945313,264.3599853515625,2452000,0.0,0.0,0.0
2024-06-18,264.4976838546617,265.1666735497099,264.3009469039975,265.0289306640625,2024300,0.0,0.0,0.0
2024-06-20,265.5601918987822,265.8061356172909,263.4057225228516,264.3599853515625,3168600,0.0,0.0,0.0
