Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-05-19,374.06609078394365,374.5700068471584,371.56599877101866,372.6610107421875,3649000,0.0,0.0,0.0
2023-05-22,372.74819222122466,374.26958094452607,371.59504072496804,372.8644714355469,2784000,0.0,0.0,0.0
2023-05-23,371.32367186143574,372.2151654548815,368.3099645498698,368.6976013183594,2887300,0.0,0.0,0.0
2023-05-24,367.1762434425801,367.50571106529884,364.90871010560795,365.9358825683594,3611600,0.0,0.0,0.0
2023-05-25,369.19177221866454,370.4418327270363,367.18589693247907,369.12396240234375,3315900,0.0,0.0,0.0
2023-05-26,369.8217553299554,374.59908075480837,369.72484611884994,373.9207458496094,3042800,0.0,0.0,0.0
2023-05-30,375.7521944076935,376.2367108417564,372.8450958033159,374.0369873046875,3968500,0.0,0.0,0.0
2023-05-31,372.4090219247224,373.2327057831993,370.5775651682032,372.0020446777344,4205300,0.0,0.0,0.0
2023-06-01,372.30244860525875,376.53711760793755,371.1105275030424,375.5680847167969,3563600,0.0,0.0,0.0
2023-06-02,378.0002710965965,381.76012278867387,377.477014719063,381.0818176269531,7368900,0.0,0.0,0.0
2023-06-05,381.3532616018679,382.5451532857623,379.6574538229567,380.345458984375,3481200,0.0,0.0,0.0
2023-06-06,379.9093191973636,381.5954564753805,379.2891535475172,381.13031005859375,2894700,0.0,0.0,0.0
2023-06-07,381.47917689159516,382.5354191544306,379.41513217964115,379.8802490234375,3942900,0.0,0.0,0.0
2023-06-08,379.82209804470733,382.50633789806176,379.17286261217004,382.157470703125,3455400,0.0,0.0,0.0
2023-06-09,382.81639759786873,384.63818400197783,381.8764345945799,382.7970275878906,3060100,0.0,0.0,0.0
2023-06-12,383.7176656244801,386.3437365526936,383.05870076492465,386.3146667480469,3792700,0.0,0.0,0.0
2023-06-13,387.632499086028,389.4058457121688,387.0317034675663,388.8631896972656,3913100,0.0,0.0,0.0
2023-06-14,389.17327495565945,390.9466216603134,386.1208273435513,389.1636047363281,5161300,0.0,0.0,0.0
